epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1022.62,0.73086,4.70125,0.3938,0.99309,1.18118,0.51606,0.75151,0.69853,0.47301,0.14237,0.31167,0.20457,0.09698,1.28089,5.33884,0.15907,1.09923,2.03553,0.000458022,0.000458022,0.000458022
91,1033.88,0.7278,4.59755,0.38989,0.96441,1.16751,0.44311,0.8381,0.66316,0.43668,0.53845,0.26796,0.24708,0.10438,1.25874,5.19813,0.15192,1.04753,1.97099,0.000456921,0.000456921,0.000456921
92,1045.2,0.73577,4.69785,0.38713,0.95622,1.17995,0.45811,0.73854,0.70885,0.48067,0.42454,0.26487,0.1889,0.08948,1.23495,5.25928,0.11739,1.20887,1.96545,0.00045582,0.00045582,0.00045582
93,1056.45,0.70744,4.65687,0.38846,0.97529,1.15497,0.53486,0.71385,0.73301,0.53088,0.42453,0.3165,0.26306,0.1168,1.21314,5.10103,0.15173,1.10699,1.97495,0.000454719,0.000454719,0.000454719
94,1067.76,0.71152,4.78211,0.39713,0.95905,1.14964,0.52798,0.72129,0.72648,0.50817,0.24659,0.30858,0.21744,0.1038,1.18947,5.26115,0.14912,1.14539,1.8486,0.000453618,0.000453618,0.000453618
95,1079.06,0.70737,4.44687,0.38086,0.90719,1.14483,0.56536,0.6387,0.76171,0.54467,0.5106,0.15642,0.17325,0.0958,1.25832,5.31138,0.17619,1.20367,1.99478,0.000452517,0.000452517,0.000452517
96,1090.37,0.70839,4.45908,0.37739,0.92497,1.15347,0.44718,0.81021,0.76592,0.51864,0.46527,0.25525,0.27127,0.09726,1.28181,5.24697,0.12733,1.12228,2.15122,0.000451416,0.000451416,0.000451416
97,1101.65,0.71734,4.44289,0.3879,0.91147,1.15661,0.52027,0.66583,0.65457,0.46617,0.61789,0.26114,0.21863,0.09335,1.25623,5.21751,0.131,1.27059,2.13254,0.000450316,0.000450316,0.000450316
98,1113,0.68155,4.44567,0.37247,0.91471,1.12338,0.61655,0.64643,0.74373,0.4865,0.3323,0.32976,0.29534,0.11997,1.35538,5.63238,0.12666,1.6723,2.24365,0.000449215,0.000449215,0.000449215
99,1124.51,0.66924,4.74952,0.39125,0.92979,1.14978,0.5766,0.60844,0.68169,0.46825,0.62783,0.26946,0.20203,0.09607,1.42329,5.1484,0.08093,1.15064,2.34823,0.000448114,0.000448114,0.000448114
100,1135.89,0.68069,4.53842,0.39176,0.90382,1.15852,0.67529,0.61277,0.75407,0.51887,0.64994,0.2714,0.24208,0.10643,1.4294,5.21254,0.10351,1.03034,2.51279,0.000447013,0.000447013,0.000447013
101,1147.17,0.69194,4.76585,0.38311,0.93945,1.14313,0.48193,0.74197,0.75282,0.5374,0.65305,0.27582,0.28336,0.1294,1.41488,5.30449,0.12447,1.04458,2.38165,0.000445912,0.000445912,0.000445912
102,1158.64,0.69105,4.43074,0.37856,0.93007,1.15663,0.61304,0.66719,0.69224,0.469,0.70276,0.31103,0.29109,0.12238,1.43548,5.30247,0.13163,1.11804,2.35147,0.000444811,0.000444811,0.000444811
103,1169.97,0.70243,4.2452,0.38225,0.90225,1.15791,0.67954,0.62512,0.7199,0.49377,0.49927,0.2844,0.33395,0.12001,1.24233,5.16482,0.12205,1.13696,2.08137,0.00044371,0.00044371,0.00044371
104,1181.42,0.68976,4.40802,0.37764,0.9497,1.15149,0.69766,0.55948,0.76048,0.48658,0.62461,0.24696,0.2511,0.10612,1.51841,5.45005,0.09079,1.11255,2.44175,0.000442609,0.000442609,0.000442609
