epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,931.464,0.45617,2.34569,0.2918,0.50402,1.00636,0.53106,0.68483,0.60474,0.42221,0.49357,0.63402,0.55721,0.29023,1.44391,3.29379,0.08718,1.42485,3.00209,0.000333072,0.000333072,0.000333072
83,942.734,0.42342,2.50485,0.3223,0.51386,0.98776,0.54462,0.68082,0.62713,0.43363,0.52647,0.65724,0.59226,0.24945,1.46772,3.58414,0.07514,1.36303,3.05502,0.00033032,0.00033032,0.00033032
84,954.059,0.42262,2.38468,0.30275,0.51104,0.99369,0.61523,0.68346,0.70282,0.46542,0.68306,0.58499,0.50967,0.26534,1.47135,3.29052,0.07879,1.19713,2.98204,0.000327567,0.000327567,0.000327567
85,965.375,0.41303,2.28754,0.31304,0.46295,0.98745,0.64418,0.66245,0.7092,0.45639,0.56394,0.58376,0.51459,0.25444,1.50236,3.43619,0.13716,1.35216,2.98429,0.000324815,0.000324815,0.000324815
86,976.888,0.40812,2.46947,0.32002,0.4914,0.98149,0.5911,0.62435,0.64313,0.43549,0.73357,0.5296,0.56056,0.26561,1.4599,3.3382,0.094,1.24975,2.95669,0.000322063,0.000322063,0.000322063
87,988.153,0.40143,2.29166,0.30199,0.46666,0.9786,0.58626,0.70421,0.61893,0.41765,0.5215,0.6292,0.54396,0.2703,1.48916,3.326,0.06762,1.28395,3.04158,0.000319311,0.000319311,0.000319311
88,999.494,0.38761,2.3434,0.31254,0.44854,0.97857,0.5104,0.60843,0.62745,0.4329,0.70029,0.509,0.54783,0.30328,1.45965,3.26217,0.11228,1.23699,2.99392,0.000316559,0.000316559,0.000316559
89,1010.79,0.40369,2.29297,0.30142,0.49162,0.97502,0.55161,0.58815,0.62135,0.42899,0.72043,0.51443,0.54786,0.27831,1.45823,3.32494,0.07149,1.12716,2.8217,0.000313806,0.000313806,0.000313806
90,1022.08,0.39934,2.36675,0.31523,0.45438,0.9876,0.49058,0.57546,0.60821,0.42788,0.61773,0.52161,0.54966,0.28696,1.46686,3.26499,0.06228,1.27921,2.95708,0.000311054,0.000311054,0.000311054
91,1033.34,0.40895,2.28295,0.31098,0.47113,0.9803,0.51363,0.66244,0.64178,0.45586,0.46454,0.60942,0.57273,0.27944,1.45188,3.42086,0.10294,1.34688,2.96239,0.000308302,0.000308302,0.000308302
92,1044.66,0.39962,2.29335,0.30434,0.46345,0.98666,0.52047,0.59465,0.64518,0.4501,0.68367,0.48354,0.47815,0.24743,1.4484,3.3844,0.08915,1.32347,2.94325,0.00030555,0.00030555,0.00030555
93,1055.92,0.40093,2.25252,0.3067,0.44893,0.97585,0.54308,0.66437,0.61779,0.44017,0.45502,0.5757,0.50125,0.2858,1.4551,3.25335,0.10921,1.30003,2.87622,0.000302798,0.000302798,0.000302798
94,1067.21,0.39174,2.35635,0.31061,0.44712,0.97608,0.51231,0.63651,0.59623,0.41883,0.51455,0.57968,0.5337,0.28471,1.45699,3.47918,0.06784,1.35854,2.81581,0.000300045,0.000300045,0.000300045
95,1078.47,0.38573,2.16731,0.2971,0.4551,0.9664,0.54108,0.67979,0.60249,0.4144,0.45728,0.60696,0.52048,0.27875,1.46481,3.48363,0.06793,1.30747,2.88396,0.000297293,0.000297293,0.000297293
96,1089.76,0.38213,2.23881,0.29926,0.466,0.97144,0.52141,0.58876,0.57659,0.39832,0.49713,0.49253,0.49857,0.24872,1.45195,3.44302,0.05041,1.35057,2.91523,0.000294541,0.000294541,0.000294541
97,1101.24,0.39215,2.19976,0.30798,0.46427,0.96835,0.53374,0.58975,0.58605,0.41677,0.70659,0.52569,0.52663,0.27529,1.45815,3.45701,0.07422,1.17091,2.96956,0.000291789,0.000291789,0.000291789
